,the_geom,uid_merged,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,the_geom_webmercator,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,agencyjuris,datasource,dataname,dataurl,datadate,pgtable,facdomain
12817,0101000020E61000001BB96E4A797452C0D3A57F492A594440,,90148,5406006.0,,Sheridon Shop,,,Atlantic Avenue,Richmond Hill,Queens,4.0,11418.0,40.696603,-73.819903,1034189.957,193119.1271,4602536,4093750058,409.0,29,14202,QN54,0101000020110F0000B5A6CA80FE585FC14983934943F35241,Transportation,Rail Yards and Maintenance,LIRR Maintenance and Other Facility,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
13454,0101000020E610000043E6CAA0DA7552C00E4A9869FB6B4440,107323;107330;107289;107329;161868;107296;107303;107294;187189;107332;107327;41767;107331;180389,107283,5401006.0,,Westchester,1650,Eastchester Rd at Blondell Ave,1650 Eastchester Rd at Blondell Ave,Bronx,Bronx,2.0,10461.0,40.84361,-73.84146899999999,1028113.0,246667.0002,,2041330023;2041340014;2041370001;2041380001;2041390014;2041400011;2041410011;2041420014;2041420101;2041420112;2041420118;2041430001;2041440001;2041450001;2041460001,211.0,13,28400,BX37,0101000020110F000011DD9FAE565B5FC15226095E5D085341,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
13626,0101000020E610000068E89FE0627352C0EFACDD76A1594440,,84199,5303412001.0,,Professional Transit,94-01,150 Street,94-01 150 Street,Jamaica,Queens,4.0,11435.0,40.70024,-73.80291,1038899.052,194454.1452,4215605,4100950043,412.0,27,20800,QN61,0101000020110F00007F870E9725575FC1E8EAE5CAC8F35241,Transportation,Bus Depots and Terminals,MTA Paratransit Vehicle Depot,,,,,,,,Non-public,Proprietary,Non-public,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
13951,0101000020E61000006BB8C83D5D7D52C08F386403E95C4440,,169211,5402076.0,,Station Wash Van Facility,40,Quay Street,40 Quay Street,Brooklyn,Brooklyn,3.0,11222.0,40.725861,-73.958816,995665.0001,203730.0001,,,301.0,33,56100,BK76,0101000020110F0000919F276F18685FC1A387617B75F75241,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
14224,0101000020E610000051DB8651108052C0C0B167CF65604440,,47140,5406007.0,,West Side Shop,500,West 33 Street,500 West 33 Street,New York,Manhattan,1.0,10001.0,40.753107,-74.000996,983973.9999,213653.9999,,1007027501,104.0,3,9900,MN13,0101000020110F000077B8584CAE6C5FC1057C463B5EFB5241,Transportation,Rail Yards and Maintenance,LIRR Maintenance and Other Facility,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
14379,0101000020E610000078EE3D5C727952C016A6EF35045B4440,,1315,5303405001.0,,Careride Para,63-15,Traffic Avenue,63-15 Traffic Avenue,Ridgewood,Queens,4.0,11385.0,40.711065999999995,-73.897605,1012637.5329999999,198353.73899999997,4087481,4036080290,405.0,30,61301,QN20,0101000020110F000094B49AF070615FC15496273B56F55241,Transportation,Bus Depots and Terminals,MTA Paratransit Vehicle Depot,,,,,,,,Non-public,Proprietary,Non-public,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
14409,0101000020E610000061E124CD1F7652C07D09151C5E604440,122089;122088;122087,122070,5401011.0,,Corona,126-53,Willets Point Boulevard,126-53 Willets Point Boulevard,Corona,Queens,4.0,11368.0,40.752871999999996,-73.845691,1027003.0,213606.0,,,481.0,21,38302,QN99,0101000020110F0000809B0A2ECC5B5FC13115249955FB5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
14432,0101000020E61000005F07CE19517552C065A54929E86E4440,,8493,5302212001.0,,Gun Hill Depot,1910,Bartow Avenue,1910 Bartow Avenue,Bronx,Bronx,2.0,10469.0,40.86646,-73.833075,1030419.474,254996.4618,2098101,2048040100,212.0,12,35600,BX03,0101000020110F0000794D03146D5A5FC1503C041DA60B5341,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
14894,0101000020E6100000F4A96395D27852C0412E71E4815A4440,97069;40246;97065;97080,101610,5405018.0,,Fresh Pond Yard,65,Pl,65 Pl,Ridgewood,Queens,4.0,11385.0,40.707089,-73.887853,1015343.0,196907.9999,4551724;4551838,4036080025;4036670309;4036670571;4036670722;4036670775,405.0,30,61301,QN20,0101000020110F00004440FE8A61605FC1ED21D538C4F45241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
14929,0101000020E61000008527F4FA937952C0A05225CADE524440,72297;72296;72294;70696;4414;72299;169026;167966,156767,5401017.0,,Canarsie,,,East 100 Street,Brooklyn,Brooklyn,3.0,11236.0,40.647424,-73.89965699999999,1012095.168,175166.4807,3229443;3407057;3407058;3407080,3081660012;3081660060;3081670011;3081680011;3081680046;3081680065;3081690013;3081700001;3081708900,318.0,42,97400,BK50,0101000020110F0000736CF80BAA615FC16A7EB4C336EC5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
15359,0101000020E6100000E28FA2CEDC7552C07024D06053694440,,112906,5302209001.0,,Zerega Cmf,750,Zerega Avenue,750 Zerega Avenue,Bronx,Bronx,2.0,10473.0,40.822857,-73.84160200000001,1028089.7729999999,239105.6552,2022542,2036190001,209.0,18,9000,BX09,0101000020110F0000890C2D625A5B5FC170769E0762055341,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
15670,0101000020E6100000761A69A9BC7F52C081EA1F4432604440,,94612,5405016.0,,C Yard,372,9 Avenue,372 9 Avenue,New York,Manhattan,1.0,10001.0,40.751534,-73.99589,985388.8413,213080.8837,1084820,1007550040,104.0,3,10300,MN13,0101000020110F0000A407EB32206C5FC16F8DA17124FB5241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
15762,0101000020E6100000BBEF181EFB7B52C0EE073C3080564440,,96936,5402061.0,,Bergen St.,1415,Bergen Street,1415 Bergen Street,Brooklyn,Brooklyn,3.0,11213.0,40.675787,-73.937202,1001668.939,185489.9999,3035760,3013460010,308.0,36,31100,BK61,0101000020110F0000813359EBBE655FC189DC085347F05241,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
15816,0101000020E61000001BB96E4A797452C0D3A57F492A594440,,90153,5406005.0,,Morris Park Shop,,,Atlantic Avenue,Richmond Hill,Queens,4.0,11418.0,40.696603,-73.819903,1034189.957,193119.1271,4602536,4093750058,409.0,29,14202,QN54,0101000020110F0000B5A6CA80FE585FC14983934943F35241,Transportation,Rail Yards and Maintenance,LIRR Maintenance and Other Facility,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
16102,0101000020E6100000D5EDEC2B0F7C52C00ADCBA9BA76C4440,,120358,,,George Washington Bridge Bus Station,4201,Broadway,4201 Broadway,New York,Manhattan,1.0,10033.0,40.848865,-73.938426,1001285.197,248547.9171,1064259,1021760017,112.0,10,26500,MN36,0101000020110F0000F90CACFBE0655FC14B16E1B11E095341,Transportation,Bus Depots and Terminals,PANYNJ Bus Terminal,,,,,,,,Public,Port Authority of New York and New Jersey,PANYNJ,PANYNJ: State,Port Authority of New York and New Jersey,PANYNJ,,PANYNJ,PANYNJ: Selected Facilities and Program Sites Database,PANYNJ: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,PANYNJ: 2015-03-01,panynj_facilities_sfpsd,Core Infrastructure and Transportation
16506,0101000020E6100000A7583508737A52C0EFE714E4676F4440,,123827,5302112001.0,,Kingsbridge Depot,4065,10 Avenue,4065 10 Avenue,New York,Manhattan,1.0,10034.0,40.870358,-73.913271,1008236.969,256384.6326,1076766,1022130006,112.0,10,29900,MN01,0101000020110F0000688C32EC24635FC1649BDB90350C5341,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
16528,0101000020E6100000AA2A3410CB8452C0DE59BBED42514440,,163434,5401027.0,,Tompkinsville,,,Victory Boulevard,Staten Island,Staten Island,5.0,10301.0,40.634855,-74.074894,963462.9999,170580.0001,,5004870112,501.0,49,2100,SI37,0101000020110F00003FE6C2DEB6745FC1A45CBBC869EA5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
16865,0101000020E6100000C34483143C8152C089B14CBF44584440,,116547,,,Liggett Terrace,1,Governors Island,1 Governors Island,New York,Manhattan,1.0,10004.0,40.689598,-74.01929200000001,978899.9999,190515.9999,,1000010010,101.0,1,500,MN99,0101000020110F000031843C79AB6E5FC146BE032C42F25241,Parks and Plazas,Parks,City-State Park,,,,,TGI: 6.000,TGI: Acres,,Public,Trust for Governors Island,TGI,TGI: City-State,Trust for Governors Island,TGI,,TGI,TGI: Selected Facilities and Program Sites Database,TGI: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,TGI: 2015-03-01,tgi_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
17109,0101000020E610000013D21A834E6F52C0BB0D6ABFB55B4440,,76542,5405021.0,,Queens Team Yard,98,Ave,98 Ave,Queens Village,Queens,4.0,11429.0,40.716484,-73.73916700000001,1056556.129,200418.5215,4603614,4107590001,413.0,27,56800,QN34,0101000020110F000098CB67A137505FC12B077C281DF65241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
17319,0101000020E61000007156444DF47B52C04436902E36694440,,105002,5402066.0,,148 St.,100,West  147 Street,100 West  147 Street,New York,Manhattan,1.0,10039.0,40.821965999999996,-73.936786,1001745.911,238747.7993,1060196,1020150006,110.0,9,23400,MN03,0101000020110F0000BA0C9457B3655FC1C938274341055341,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
17834,0101000020E6100000FA97A432C57C52C03D61890794614440,,114692,,,Northwest Promenade,40,River Road,40 River Road,New York,Manhattan,1.0,10044.0,40.76233,-73.949536,998229.651,217018.0114,,1013730001,108.0,5,23801,MN31,0101000020110F00000166482C16675FC11FA92A16B1FC5241,Parks and Plazas,Parks,City-State Park,,,,,,,City Owned,Public,Roosevelt Island Operating Corporation,RIOC,RIOC: State,Roosevelt Island Operating Corporation,RIOC,NYCDEP;NYCDOE;NYCFDNY,NYCDCAS;RIOC,NYCDCAS: City Owned and Leased Properties;RIOC: Selected Facilities and Program Sites Database,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;RIOC: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,NYCDCAS: 2017-06-01;RIOC: 2015-03-01,dcas_facilities_colp;rioc_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
18089,0101000020E6100000BE6BD097DE7752C0EE0912DBDD6B4440,,55819,5401004.0,,E 180 St,1151,E 180 St at Morris Park Ave,1151 E 180 St at Morris Park Ave,Bronx,Bronx,2.0,10460.0,40.842708,-73.872961,1019400.0,246323.9999,,2040110205,206.0,15,22000,BX17,0101000020110F00006AEAB819C35E5FC169D0592F3C085341,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
18159,0101000020E6100000CE8C7E349C7A52C0E9D495CFF26E4440,55576;55577,123825,5402030.0,,207 St,3961,10 Avenue,3961 10 Avenue,New York,Manhattan,1.0,10034.0,40.866785,-73.915784,1007543.0340000001,255082.043,1084721,1021890001,112.0,10,29900,MN01,0101000020110F0000670DEFDB6A635FC1EF01D312B20B5341,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
18294,0101000020E610000050FD8348867C52C0EE93A30051624440,,114716,,,Octagon Park,40,River Road,40 River Road,New York,Manhattan,1.0,10044.0,40.768097,-73.945696,999292.0001,219120.0001,,1013730001,108.0,5,23802,MN31,0101000020110F0000A49D674EAB665FC1449BC7FD84FD5241,Parks and Plazas,Parks,City-State Park,,,,,RIOC: 1.300,RIOC: Acres,City Owned,Public,Roosevelt Island Operating Corporation,RIOC,RIOC: State,Roosevelt Island Operating Corporation,RIOC,NYCDEP;NYCDOE;NYCFDNY,NYCDCAS;RIOC,NYCDCAS: City Owned and Leased Properties;RIOC: Selected Facilities and Program Sites Database,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;RIOC: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,NYCDCAS: 2017-06-01;RIOC: 2015-03-01,dcas_facilities_colp;rioc_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
18464,0101000020E6100000F7764B72C07B52C09E4143FF04674440,,47695,5303111001.0,,Mv Public NY,217,East  127 Street,217 East  127 Street,New York,Manhattan,1.0,10035.0,40.804840000000006,-73.933621,1002626.609,232508.9306,1087849,1017920005,111.0,8,24200,MN34,0101000020110F000095C7B3425B655FC198EA8185CB025341,Transportation,Bus Depots and Terminals,MTA Paratransit Vehicle Depot,,,,,,,,Non-public,Proprietary,Non-public,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
18779,0101000020E610000026C79DD2C16E52C090F46915FD5B4440,76556;169671;192792,154727,5405015.0,,Belmont Park Yard,222,St,222 St,Queens Village,Queens,4.0,11429.0,40.718661,-73.73058,1058934.0,201218.9998,,4108070050;4108120065;4108120085;4108120129,413.0,27,56800,QN34,0101000020110F00006889C6A7484F5FC18488E5176DF65241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
19205,0101000020E61000000EDDEC0F947E52C0335019FF3E4B4440,87470,4497,5402031.0,,Coney Island,,,Avenue X,Brooklyn,Brooklyn,3.0,11223.0,40.58786,-73.977787,990419.6383,153450.3651,3412409,3072080040,313.0,47,30800,BK26,0101000020110F000085EE0B65286A5FC139B000F7AEE35241,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
19261,0101000020E61000004FCDE506437852C04ED4D2DC0A554440,102480;156283;102482;158999;102483,102365,5401008.0,,Livonia,824,Linwood St at Hegeman Ave,824 Linwood St at Hegeman Ave,Brooklyn,Brooklyn,3.0,11208.0,40.664394,-73.879091,1017793.7159999999,181356.0908,3402598;3402644,3043140016;3043140034;3043140054;3043140074;3043370001;3043610001,305.0,42,111600,BK82,0101000020110F00009BBF95B26D5F5FC12513284BA5EE5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
19751,0101000020E61000008F56B5A4A37F52C0E8DB82A5BA524440,,56598,5401018.0,,36/38 St.,38-01,9 Ave at 38 St,38-01 9 Ave at 38 St,Brooklyn,Brooklyn,3.0,11219.0,40.646321,-73.994363,985814.3289,174748.5618,3340913,3055820007,312.0,38,11000,BK34,0101000020110F00002B0BE3B3F56B5FC1D06BB14E0EEC5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
19893,0101000020E610000032E884D0418852C08CD651D504514440,,100939,5302501001.0,,Castleton Depot,1390,Castleton Ave,1390 Castleton Ave,Staten Island,Staten Island,5.0,10310.0,40.63296,-74.129017,948440.0001,169907.0001,,5002150001,501.0,49,13302,SI22,0101000020110F000086813A1B997A5FC13AB2684A24EA5241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
19938,0101000020E610000076374F75C88452C0471D1D5723514440,,109922,5402078.0,,Tompkinsville,331,Bay Street,331 Bay Street,Staten Is,Staten Is,,10301.0,40.633891,-74.074735,963506.9426,170228.9646,5106805,5004870112,501.0,49,2100,SI37,0101000020110F00005B64F971B2745FC101D39A6E46EA5241,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
20066,0101000020E6100000895DDBDB2D7852C0A4A65D4C336B4440,,138656,5302206001.0,,West Farms Depot,1100,East  177 Street,1100 East  177 Street,Bronx,Bronx,2.0,10460.0,40.837503000000005,-73.877799,1018064.072,244426.0096,2028348,2039040040,206.0,17,6000,BX75,0101000020110F0000B884CCBD495F5FC1E3EBF1B67C075341,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
20076,0101000020E610000068B27F9E067A52C0226FB9FAB16F4440,,143581,5403002.0,,Bn Yard,,,West Kingsbridge Rd,Bronx,Bronx,2.0,10463.0,40.872619,-73.906654,1010066.0,257210.0001,,2032380126,207.0,14,26900,BX30,0101000020110F0000AE9BBAC56C625FC113132FC7880C5341,Transportation,Rail Yards and Maintenance,Metro-North Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
20212,0101000020E6100000AE4676A5657552C0707841446A4A4440,,156073,5401024.0,,Rockaway Park,101,St and Glenwood Rd,101 St and Glenwood Rd,Rockaway Park,Queens,4.0,11694.0,40.581368,-73.834329,1030269.0,151128.0,,4161660100,414.0,32,93800,QN10,0101000020110F000081E811FA8F5A5FC118D2D410C1E25241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
20687,0101000020E6100000CFBD874B8E7352C0F7562426A8594440,,83890,5405019.0,,Jamaica E Yard,,,Sutphin Boulevard,Jamaica,Queens,4.0,11435.0,40.700444,-73.80556,1038164.0,194527.0001,,4099980065,412.0,27,20800,QN61,0101000020110F00001CA7D7566F575FC1CE35F747D0F35241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
